ID - KNIP	ID - BAG	Company	Abreviation	belongs to	Motherhouse	Can be purchased	contract	Can be used for comparison	Adr.	Policy Conditions	Image	descripion_de	description_en	Reviews	Gesamtnote	Tage bis Rückerstattung	Geschwindigkeit \nRückerstattung	Kunden\nzufriedenheit	Knip \nKollaboration	positive 	negative	E-mail\napplication
30	762	Kolping Krankenkasse AG	Kolping		Sympany	yes	nein	yes	Wallisellenstrasse55\n8600 Dübendorf\nTel. 044 824 80 70\nFax 044 824 80 99\ninfo@mykolping.ch\nwww.mykolping.ch		kolping.png	Die Kolping Krankenkasse AG ist ein gesamtschweizerisch tätiger Kranken- und Unfallversicherer. Sie schützt seit über 130 Jahren Menschen vor den finanziellen Folgen von Krankheit und Unfall und begleitet Sie in allen Lebenslagen. Seit dem 01.07.2016 ist die Kolping Krankenkasse AG eine Tochtergesellschaft der Stiftung Sympany.\nSchlanke Strukturen und kurze Entscheidungswege kombiniert mit der hohen Fachkompetenz der Mitarbeitenden prägen die Kolping Krankenkasse AG. Als kleiner Versicherer mit mehreren Geschäftsstellen in der ganzen Schweiz ist Kolping nahe am Kunden. Dies ist mit ein Grund für die hohe Kundenzufriedenheit, welche bereits mehrfach von Comparis ausgezeichnet wurde. Auch in Zukunft wird Kolping sich dafür einsetzen, dem Kunden qualitativ hochwertige und zukunftsgerichtete Produkte und Dienstleistungen anzubieten.	 		8.1	7	8.3	9.2	6.7	Hohe Kundenzufriedenheit	Zu tiefe Solvenzquote	info@mykolping.ch
4	376	KPT Krankenkasse AG	KPT	-	-	Yes	Nein	yes	Tellstrasse 18\n Postfach 8624\n 3001 Bern\n Tel. 058 310 91 11\n Fax 058 310 86 35\n kpt@kpt.ch \n www.kpt.ch		kpt_cpt.png	Die KPT CPT Holding AG ist eine grosse Versicherung mit Hauptsitz in Bern und betreut ca. 430.000 Versicherte.\nK für Kompetenz, P für persönlich und T für Transparenz. Diesen Grundsatz leben die Mitarbeiter auch täglich bei ihrer Arbeit. Neben der Grundversicherung und der Unfallversicherung bietet die Holding AG auch Zusatzversicherungen an. Prämien kann ein Kunde sparen, wenn er seine gesamte Kundenverbindung online abwickelt.	 		7.9	5	10.0	7.1	6.7	Schnelle Rückerstattung	Mittlere Kundenzufriedneheit	kpt@kpt.ch 
3254	134	Kranken- und Unfallkasse\nBezirkskrankenkasse Einsiedeln	KK Einsiedeln 	-	-	yes	nein	yes	Hauptstrasse 61\n Postfach 57\n 8840 Einsiedeln\n Tel. 055 412 23 18\n Fax 055 412 88 34\n info@kkeinsiedeln.ch\n www.kkeinsiedeln.ch		krankenkasse_einsiedeln.png		 		n.v.	5	10.0	-	5.0	Schnelle Rückerstattung		info@kkeinsiedeln.ch
\n\nKOMPARU:\nDISREGARD\n\nNicht Erfassen! \nKK Macht nur Taggeld	1540	Krankengeldversicherung für \nMitarbeiter der fenaco\nMitgliedgenossenschaften (KGV)		-	-	nein	Nein	nein	Postfach 344\n 8401 Winterthur\n Tel. 052 264 23 20 (21)\n Fax 052 213 67 93		-											
67	1322	Krankenkasse Birchmeier	Birchmeier	-		Yes	Nein	yes	Hauptstrasse 22\n 5444 Künten\n Tel. 056 485 60 40\n Fax 056 485 60 45\n info@kkbirchmeier.ch\n www.kkbirchmeier.ch		krankenkasse_birchmeier.png	Heute bietet die Kasse ihren Versicherten ein ganzheitliches und attraktives Leistungsangebot. Personen, die im Kanton Aargau wohnen, können je nach persönlichen Wünschen und Bedürfnissen Bausteine einer Grundversicherung, Zusatzversicherungen (ambulant), Spitalversicherungen (stationär), Zahnversicherungen, Patientenrechtsschutzversicherungen, Risikokapitalversicherung, Ferien- und Reiseversicherung und der Klassiker Taggeldversicherung angeboten werden. Engagierte und gut ausgebildeten Mitarbeiter der Krankenversicherung Birchmeier legen Wert auf eine hohe Beratungs- und Dienstleistungsqualität gegenüber den Versicherten.	 		8.1	6	8.3	9.2	6.7	Hohe Kundenzufriedenheit	Starke Prämienerhöhung 2016	info@kkbirchmeier.ch
3306	1142	Krankenkasse Institut Ingenbohl				nein	nein	nein	Postfach 57\n8840 Einsiedeln\nTel.041 825 22 37\nFax 055 412 88 34\nkkingenbohl@hin.ch		-											info@kkeinsiedeln.ch
49	360	Krankenkasse Luzerner Hinterland	KK Luzerner Hinterland	-	-	Yes	Nein	yes	Luzernstrasse 19\n 6144 Zell\n Tel. 041 989 70 00\n Fax 041 989 70 01\n info@kklh.ch \n www.kklh.ch		luzerner_hinterland.png	Die Krankenkasse Luzerner Hinterland, mit Sitz in Zell, zählt heute rund 24'700 Mitglieder und ist in zehn Kantonen tätig. Hauptaugenmerk wird auf die Region Luzerner Landschaft gelegt. Mit der Mitgliederzahl gehört die Kasse noch immer zu den kleineren Krankenversicherern. Dies entspricht jedoch genau dem Motto der Kasse: „Qualität vor Wachstum“.	 		7.1	6	8.3	8.0	5.0	Regionaler Fokus	Starke Prämienerhöhung 2016	info@kklh.ch 
\n\nKOMPARU:\nDISREGARD\n\nNicht Erfassen! \nKK Macht nur Taggeld	1522	Krankenkasse Schweizerischer Metallbaufirmen		-	-	Nein	Nein	nein	Dielsdorferstrasse 1\n Postfach 56\n 8173 Neerach\n Tel. 01 321 55 30\n Fax 01 321 55 52		-											
3308	1362	Krankenkasse Simplon		-	-	nein	nein	nein	3907 Simplon-Dorf\n Tel. 027 979 14 39 \n Fax 027 979 14 39\n kk.simplondorf@rhone.ch		-											kk.simplondorf@rhone.ch
75	923	Krankenkasse SLKK	SLKK	-	-	Yes	Yes	yes	Hofwiesenstrasse 370\n Postfach 5652\n 8050 Zürich\n Tel. 044 368 70 30\n Fax 044 368 70 47\n info@slkk.ch\n www.slkk.ch		slkk.png	Die Krankenkasse SLKK verzichtet im Interesse einer optimalen Betreuung ihrer Kunden und der Kundennähe bewusst darauf, in der Westschweiz und im Tessin tätig zu sein. Die SLKK Versicherung versichert traditionsgemäss Personen des Mittelstandes. Sie ist finanziell kerngesund und legt grossen Wert darauf, dass dies so bleibt. Sie will deshalb auch nicht als „Billigkasse“ auftreten, sondern ihren Versicherten jetzt und in Zukunft optimale Versicherungsleistungen zu moderaten Prämien anbieten. \nDie Kasse verzichtet bewusst auf aggressive Methoden der Kundenakquisition und zieht es vor, mit ihren Versicherten ein langfristiges Vertrauensverhältnis aufzubauen und zu pflegen. \n	 		8.4	19	6.7	8.6	10.0	Serviceorientierung\nHohe Kundenzufriedenheit		info@slkk.ch
68	246	Krankenkasse Steffisburg	KK Steffisburg	-	-	Yes	Nein	yes	Unterdorfstrasse 37\n Postfach\n 3612 Steffisburg\n Tel. 033 439 40 20\n Fax 033 439 40 29\n info@kkst.ch \n www.kkst.ch		krankenkasse_steffisburg.png	Die Krankenkasse Steffisburg ist eine regional tätige Krankenkasse. Sie hat Ihren Hauptsitz, wie der Name schon sagt, in Steffisburg und ist dort überwiegend regional tätig. Aber natürlich ist sie auch über zentrale Telefonnummer und den E-Mail-Kontakt zu erreichen. Die Krankenkasse Steffisburg ist eine sehr kleine Versicherung mit gerade mal einem Geschäftsführer sowie acht Mitarbeitern und Mitarbeiterinnen. Hier ist vor allem eine persönliche Beratung der Versicherten gewährleistet. Neben der Grundversicherung sowie der Unfallversicherung bietet die Krankenkasse Steffisburg natürlich auch viele Zusatzversicherungen an, zum Beispiel eine Zahnkostenversicherung oder eine Versicherung, mit der eventuelle Krankenhauskosten und Rettungskosten abgegolten werden. Dem Unternehmen ist es vor allem wichtig, sich gerade für die Anliegen Ihrer Versicherten stark zu machen. Dieses Konzept verfolgt sie nun seit über 150 Jahren. In dem Geschäftsbericht von 2012 kann man jedoch ersehen, dass der Versichertenbestand um ungefähr 21 % zum Vorjahr zurückgegangen ist. Das Jahr 2012 schloss mit einem Gewinn von 689.133,52 CHF ab. Dies waren circa 40 % Gewinn weniger als im Vorjahr.	 		7.9	6	8.3	8.8	6.7	Servicequalität	Kleine Krankenkasse	info@kkst.ch 
77	1331	Krankenkasse Stoffel	KK Stoffel			yes	Nein	yes	Bahnhofstrasse 63\n 8887 Mels\n Tel. 081 723 56 09\n Fax 081 723 76 55\n info@kkstoffel.ch\n www.kkstoffel.ch		krankenkasse_stoffel.png	Die Krankenkasse Stoffel Mels wurde 1885 als Betriebskrankenkasse der Firma Stoffel und Co. Spinnerei und Weberei in Mels gegründet. Einige Jahre vor der Stilllegung des Betriebes konnten auch Nichtbetriebsangehörige sich bei der Krankenkasse versichern. Die Tätigkeit der Kasse ist auf die Kantone St. Gallen, Graubünden und Glarus beschränkt\nDie Kasse zählt rund 1'500 Mitglieder versicherte. Am Geschäftssitz in Mels arbeiten 2 Personen mit 1.3 Stellenprozenten. Die Stärken der Krankenkasse Stoffel liegt in der Konzentration der Geschäftstätigkeit auf das Sarganserland als Kerngebiet und der persönlichen Betreuung vor Ort. Durch eine schlanke, kleine Organisation können die Verwaltungskosten niedrig gehalten werden und damit die Prämien entlastet werden. \nDie Krankenkasse Stoffel Mels versichert die Risiken aus der obligatorischen Krankenpflegeversicherung und der freiwillige Taggeldversicherung KVG. Das Angebot umfasst die ordentliche Krankenpflegeversicherung (Franchise CHF 300.00) und die Krankenpflegeversicherung mit wählbaren Franchisen. Alternative Versicherungsmodelle wie Hausarzt werden ebenfalls angeboten. Die Zusatzversicherungen werden über die Helsana abgeschlossen.\n	 		7.6	3	10.0	6.0	6.7	Schnelle Rückerstattung	Geringe Kundenzufriedenheit	info@kkstoffel.ch
3307	1147	Krankenkasse Turbenthal				nein	Nein	nein	Tösstalstrasse 147\n 8488 Turbenthal\n Tel. 052 385 33 65		-											
61	558	Krankenversicherung Flaachtal AG	Flaachtal	Ein Angebot der ÖKK	Ökk	yes	Nein	yes	Bahnhofstrasse 13\n 7302 Landquart\n Tel. 058 456 10 10\n Fax 058 456 10 11\n info@oekk.ch \n www.oekk.ch		flaachtal_okk.png	ÖKK ist ein schweizweit tätiges Versicherungsunternehmen. Über 180'000 Privatpersonen sowie 16'000 Unternehmen und öffentliche Institutionen vertrauen auf ÖKK. Das gesamte jährliche Prämienvolumen beläuft sich auf mehr als 700 Millionen Franken.\nÖKK bietet umfassende Versicherungslösungen. Dazu gehören Produkte und Dienstleistungen aus den Bereichen Krankheit, Unfall, Erwerbsausfall und berufliche Vorsorge. Zusammen mit Partnerfirmen deckt ÖKK auch die Bereiche Lebens-, Haftpflicht- und Sachversicherungen ab.\nDank der dezentralen Struktur mit 35 Agenturen sind Kundinnen und Kunden bei ÖKK gut aufgehoben, werden persönlich und kompetent beraten\n	 		9.1	4	10.0	8.8	8.3	Grosses Agenturnetz\nSchnelle Rückerstattung		info@oekk.ch 
33	57	Moove Sympany AG	Moove	Ein Angebot der Sympany	Sympany	yes	Nein	yes	Peter Merian-Weg 4 \n4002 Basel\nTel. 058 262 30 00\ninfo.moove@sympany.ch\nwww.sympany.ch		move_sympany.png	Sympany setzt sich seit über 100 Jahren für Privatpersonen und Unternehmen ein. Sie bietet sowohl Kranken- und Unfallversicherungen als auch Sach- und Haftpflichtversicherungen an. Ihr Hauptsitz befindet sich in Basel.\nSympany betreut mit 466 Mitarbeitenden rund 216'000 Privatkunden, davon rund 163'000 Grundversicherte. Im Bereich Unternehmenskunden betreut Sympany rund 6700 Firmen.\nKunden profitieren vom ersten Überschussmodell in der Schweizer Krankenversicherung, das für Grundversicherung und Zusatzversicherung gilt. Dieses Modell sieht Rückzahlungen vor, wenn die Kosten für medizinische Behandlungen tiefer ausfallen als bei der Festsetzung der Prämien erwartet.\n\n\n	 		7.9	9	8.3	8.7	10.0	App für Abrechnungen\nBis 25 Jahre gratis baden		partnervertrieb@sympany.ch
21	455	ÖKK 	ÖKK 	-	Ökk	Yes	Nein	yes	Bahnhofstrasse 13\n 7302 Landquart\n Tel. 058 456 10 10\n Fax 058 456 10 11\n info@oekk.ch \n www.oekk.ch		okk.png	ÖKK ist ein schweizweit tätiges Versicherungsunternehmen. Über 180'000 Privatpersonen sowie 16'000 Unternehmen und öffentliche Institutionen vertrauen auf ÖKK. Das gesamte jährliche Prämienvolumen beläuft sich auf mehr als 700 Millionen Franken.\nÖKK bietet umfassende Versicherungslösungen. Dazu gehören Produkte und Dienstleistungen aus den Bereichen Krankheit, Unfall, Erwerbsausfall und berufliche Vorsorge. Zusammen mit Partnerfirmen deckt ÖKK auch die Bereiche Lebens-, Haftpflicht- und Sachversicherungen ab.\nDank der dezentralen Struktur mit 35 Agenturen sind Kundinnen und Kunden bei ÖKK gut aufgehoben, werden persönlich und kompetent beraten	 		9.1	2	10.0	8.8	8.3	Grosses Agenturnetz\nSchnelle Rückerstattung		info@oekk.ch 
97	1535	Philos Krankenversicherung AG\n 	Philos	Ein Angebot der Groupe Mutuel	Groupe Mutuel	Yes	Nein	yes	Groupe Mutuel\n Philos Caisse maladie-accident\n Rue des Cèdres 5\n 1920 Martigny\n Tel. 0848 803 111\n Fax 0848 803 112\n info@groupemutuel.ch\n www.groupemutuel.ch		Philos_gm.png	Die Philos Krankenversicherng AG ist eine Tochtergesellschaft der Groupe Mutuel.\nDie Groupe Mutuel ist Nummer 1 der Krankenversicherer in der Westschweiz und liegt mit den 1,45 Millionen Versicherten ihrer sechs Krankenversicherer auch gesamtschweizerisch auf den vordersten Plätzen.Ausserdem ist die Groupe Mutuel im Bereich der Taggeldversicherung, Unfallversicherung, Pensionskasse (BVG) und der Lebensversicherung aktiv und bietet ihren Kunden eine umfassende Palette an Personenversicherungen.Die Groupe Mutuel hat zur Aufgabe, folgende in der obligatorischen Krankenpflegeversicherung tätigen Krankenversicherer zu verwalten und ihre Interessen zu vertreten: Mutuel Krankenversicherung AG, Philos Krankenversicherung AG, Avenir Krankenversicherung AG, EasySana Krankenversicherung AG, SUPRA-1846 SA und AMB. Sie verwaltet auch zwei Privatversicherer für die Zusatzversicherungen: Groupe Mutuel Versicherungen GMA AG und Mutuel Versicherungen AG, sowie die Groupe Mutuel Leben GMV AG.	 		6.3	11	7.5	6.4	5.0		Langsame Rückerstattung\nZu tiefe Solvenzquote	info@groupemutuel.ch
87	994	Progrès Versicherungen AG	Progrès	Ein Angebot der Helsana Gruppe	Helsana	Yes	Nein	yes	Helsana-Gruppe\nProgrès Versicherungen AG\nPostfach\n8081 Zürich\nTel. 043 340 11 12\nFax 043 340 01 11\nwww.progres.ch		progres_helsana.png	Die Helsana-Gruppe engagiert sich als vertrauenswürdige Schweizer Kranken- und Unfallversicherung für die Gesundheit und Vorsorge von Privaten und Unternehmen. Das Unternehmen ist eine nicht börsenkotierte Aktiengesellschaft und als Holding organisiert. Unter dem Holdingdach betreiben die Gesellschaften Helsana, Progrès, Sansan und Avanex das operative Geschäft. Helsana beschäftigt schweizweit über 3000 Mitarbeitende und nimmt mit einem Prämienvolumen von sechs Milliarden Franken im Schweizer Versicherungsmarkt eine führende Position ein.\n\nHelsana schützt 1,9 Millionen Menschen gegen die finanziellen Folgen von Krankheit, Unfall, Mutterschaft und Pflegebedürftigkeit im Alter. Mit einem breiten Angebot in den Bereichen Grund-, Zusatz- und Unfallversicherung engagiert sich Helsana für das Leben jedes Einzelnen.\n	 		7.8	1	10.0	8.5	5.0	Schnelle Rückerstattung	Im Streit mit Spitälern	kb1.zuerich@helsana.ch
71	182	PROVITA Gesundheitsversicherung AG	Provita	Ein Angebot der SWICA 	Swica	yes	Nein	yes	c/o\nSWICA Krankenversicherung AG\nRömerstrasse 38\n8401 Winterthur\nTel.052 244 22 33\nFax 052 244 22 90 \ninfo@provita.ch\nwww.provita.ch		provita_swica.png	PROVITA Gesundheitsversicherung AG ist eine Tochtergesellschaft der Swica.\n\nSWICA ist eine der führenden Kranken- und Unfallversicherungen der Schweiz mit rund 1,3 Millionen Versicherten und 26 750 Unternehmenskunden. \n\nSWICA bietet ihren Kunden dauerhaft finanzielle Sicherheit und eine optimale medizinische Versorgung bei Krankheit, Unfall und Mutterschaft. \n\nSWICA ist die einzige Gesundheitsorganisation mit einer integralen Dienstleistungskette bei allen Fragen zur Gesundheit – von der medizinischen Versorgung über die kompetente Begleitung erkrankter oder verunfallter Menschen bis hin zur Gesundheitsförderung in Betrieben.	 		8.6	2	10.0	9.0	6.7	Schnelle Rückerstattung\nHohe Kundenzufriedenheit		swica@swica.ch 
73	1401	rhenusana	rhenusana	-	-	Yes	Nein	yes	Heinrich-Wild-Strasse 210\n Postfach\n 9435 Heerbrugg\n Tel. 071 727 88 00\n Fax 071 727 88 99\n info@rhenusana.ch\n www.rhenusana.ch		rhenusana.png	Rhenusana ist eine unabhängige Krankenkasse im St. Galler Rheintal und in erster Linie für die Ostschweizer Bevölkerung und Wirtschaft da. Die Kasse ist im Bereich der obligatorischen und freiwilligen Krankenversicherung tätig. Die Kasse steht für Ehrlichkeit, Fairness und Offenheit und beachtet bei Entscheidungen das Wohl der Betroffenen. Rhenusana betreut die Kunden persönlich und kompetent, entscheidet flexibel und unbürokratisch. Als vertrauenswürdiger Partner bieten die Kasse zeitgemässe Versicherungsprodukte an und strebt nach hoher Servicequalität.\nDie Kasse erbringt Leistungen, die nicht zu ihrer Kernkompetenz gehören, in Zusammenarbeit mit Partnern.\n\n	 		8.8	4	10.0	9.6	6.7	Schnelle Rückerstattung		info@rhenusana.ch
83	1568	sana24 AG	Sana24	Ein Angebot der Visana 	Visana	Yes	Nein	yes	Weltpoststrasse 19/21\n Postfach 253\n 3000 Bern 15\n Tel. 031 357 91 11\n Fax 031 357 96 22\n info@visana.ch\n www.visana.ch		sana24_visana.png	Sana24 ist ein Unternehmen von der Visana Gruppe.\nVisana ist der Service-Leader unter den Schweizer Kranken- und Unfallversicherern. Die Kasse ist für ihre Kundinnen und Kunden eine serviceorientierte, zuverlässige Partnerin mit einem hohen Qualitätsanspruch und einem umfassenden Leistungsangebot.\nDie Visana-Gruppe gehört  mit rund 1,1 Millionen Versicherten, 1300 Mitarbeitenden und 120 Geschäftsstellen zu den grössten Kranken- und Unfallversicherern der Schweiz. Die Kasse versichert Privatkunden (Einzelpersonen und Familien) und Firmenkunden (Unternehmen, Institutionen, Vereine und Verbände) und bietet die obligatorische Grundversicherung (OKP) nach Krankenversicherungsgesetz (KVG), Zusatzversicherungen und Sachversicherungen nach Versicherungsvertragsgesetz (VVG) und Unfallversicherungen nach Unfallversicherungsgesetz (UVG) an.\n	 		9.4	5	10.0	8.3	10.0	Schnelle Rückerstattung\nStabile Prämien		kam-mitte@visana.ch
52	1577	Sanagate AG	Sanagate	Ein Angebot der CSS	CSS Versicherung AG	Yes	Nein	yes	Tribschenstrasse 21\n Postfach 2568\n 6002 Luzern\n Tel. 0800 347 358\n Fax 058 911 80 33\n office.de@sanagate.ch\n www.sanagate.ch		sanagate_css.png	Die Sanagate AG ist eine 100-prozentige Tochtergesellschaft der CSS Gruppe\nAls Online- und Direktversicherer verzichtet die Sanagate AG komplett auf Zweigstellen oder ein ausgebautes Filial- oder Beraternetz. Eckpfeiler der Strategie der Sanagate sind schlanke Strukturen, einfach und übersichtliche Versicherungsprodukte. \nDie CSS Krankenkasse gehört zur CSS Holding AG. Unter deren Dach befinden sich zudem auch die Versicherer Arcosana, Intras und Sanagate. Die CSS Gruppe mit Sitz in Luzern wurde 1899 gegründet. Das traditionsreiche Unternehmen versichert rund 1,64 Millionen Menschen und zählt mit einem Prämienvolumen von 5,5 Milliarden Franken zu den führenden Schweizer Kranken-, Unfall- und Sachversicherern. In der Grundversicherung ist sie Marktleader: 1,31 Millionen Menschen vertrauen der CSS, die mit 116 Agenturen schweizweit und rund 2700 Mitarbeitenden nahe bei ihren Versicherten ist. Auch im Unternehmensgeschäft nimmt sie eine Spitzenposition ein: Rund 20‘600 Unternehmen und Institutionen sind bei der CSS Gruppe kollektiv versichert.\n	 		7.4	15	7.5	8.2	6.7	Grösster Krankenkversicherer\nVertrauenswürdigste Kasse		vertrieb@sanagate.ch
74	901	sanavals Gesundheitskasse	Sanavals	-	-	Yes	Nein	yes	Haus ISIS\n Postfach 18\n 7132 Vals\n Tel. 081 935 11 44\n Fax 081 936 90 28\n info@sanavals.ch\n www.sanavals.ch		sanavals.png	Die Sanavals Gesundheitskasse ist eine sehr kleine Krankenversicherung, die gerade mal circa 2460 Versicherte im Kanton Graubünden mit drei Mitarbeitern betreut. Neben der Grundversicherung und der Unfallversicherung bietet die Sanavals Gesundheitskasse auch Zusatzversicherungen nach VVG an. Die Sanavals Gesundheitskasse hat ihren Hauptsitz in Vals.	 		7.4	17	6.7	9.0	6.7		Langsame Rückerstattung	info@sanavals.ch
19	1509	Sanitas Grundversicherungen AG	Sanitas	-	Sanitas	Yes	Yes	yes	Jägergasse 3\n Postfach 2010\n 8021 Zürich\n Tel. 044 298 63 00\n Fax 044 298 62 50\n info@sanitas.com\n www.sanitas.com		sanitas.png	Die Sanitas Krankenversicherung gehört mit über 800'000 Kundinnen und Kunden zu den grössten Krankenkassen der Schweiz und erzielte im Geschäftsjahr 2015 einen Unternehmensgewinn von 19,1 Mio. Franken.\nDie Gruppe verfügt über eine Holdingstruktur und umfasst fünf operativ tätige Tochtergesellschaften, die auf den Gebieten der Grundversicherung (Sanitas, Wincare und Compact) und der Zusatzversicherungen (Sanitas und Wincare) tätig sind. Die in der Rechtsform einer Stiftung organisierte Sanitas Krankenversicherung bildet die Dachgesellschaft.\nDas Kerngeschäft der Sanitas Gruppe ist die Grundversicherung nach demKrankenversicherungsgesetz, die rund 71 Prozent der gesamten Prämieneinnahmen ausmacht. Die Sparte mit den Zusatzversicherungen ist das zweite Standbein.\n\n	 		9.9	5	10.0	9.6	10.0	Sieger Kundenzufriedenheit 2016\nSchnelle Rückerstattung		info@sanitas.com
50	1566	sansan Versicherungen AG		Ein Angebot der Helsana Gruppe	Helsana Gruppe	nein	Nein	nein	Helsana-Gruppe\nsansan Versicherungen AG\nPostfach\n8081 Zürich\nTel. 043 340 11 11\n Fax 043 340 01 11\n http://www.helsana.ch		sansan_helsana.png	Die Helsana AG mit Sitz in Dübendorf ist ein auf die Krankenversicherung spezialisierter Schweizer Versicherungskonzern. Mit 1,9 Millionen Versicherten und Prämieneinnahmen von 6 Milliarden Schweizer Franken ist die Helsana-Gruppe der führende Kranken- und Unfallversicherer der Schweiz. Die Unternehmensgruppe beschäftigt rund 3000 Mitarbeitende und verfügt über ein schweizweites Netz von 22 Generalagenturen und 19 Verkaufsstellen. \nDer Konzern umfasst fünf operativ tätige Tochtergesellschaften, die auf den Gebieten der Grundversicherung, der Zusatzversicherungen und der Unfallversicherungen tätig sind. Diese treten unter den Namen Helsana, Progrès, Sansan und Avanex als eigenständige Marken am Markt auf. Aerosana, eine weitere ehemalige Tochtergesellschaft, fusionierte per 1. Januar 2011 mit Progrès.\nDas Kerngeschäft der Helsana-Gruppe bildet die Grundversicherung nach demKrankenversicherungsgesetz und generiert damit rund 70 Prozent der gesamten Prämieneinnahmen. Die Sparte Zusatzversicherungen bildet mit 27 Prozent der Prämieneinnahmen das zweite Standbein. Daneben bietet die Gruppe Unternehmen und Verbänden Kollektivtaggeld- und Unfallversicherungen sowie Lösungen in der beruflichen Vorsorge an.\n				1						kb1.zuerich@helsana.ch
101	941	sodalis gesundheitsgruppe	Sodalis	-	-	yes	nein	yes	Balfrinstrasse 15\n 3930 Visp\n Tel. 027 948 14 00 \n Fax 027 948 14 04\n info@sodalis.ch \n www.sodalis.ch		sodalis.png	Sodalis ist seit mehr als 50 Jahren im Oberwallis verwurzelt. Die daraus resultierende regionale Kundennähe basiert auf einem dynamischen Netzwerk von neun Geschäftsstellen und drei Agenturen. Die Mehrheit der Oberwalliser Bevölkerung ist bei dieser Kasse versichert. Kundennähe ist ihre Stärke.	 		8.2	6	8.3	9.6	6.7			info@sodalis.ch 
69	1318	Stiftung Krankenkasse Wädenswil	KK Wädenswil	-	-	Yes	Nein	yes	Schönenbergstrasse 28\n 8820 Wädenswil\n Tel. 044 780 74 00\n Fax 044 780 87 33\n www.kkwaedenswil.ch		krankenkasse_wadenswil.png	Die Krankenkasse Wädenswil ist eine regionale Kasse und in den Kantonen Aarau, Schwyz, Zug wie Zürich tätig. Der durchschnittliche Versichertenbestand der Krankenkasse Wädenswil in der Grundversicherung (OKP) ist im Jahr 2015 um 1.6 Prozent auf 8962 Personen gesunken (2014: 9106). Auf 2016 ist der Versichertenbestand wieder gestiegen. Die Kasse bietet OKP wie auch Zusatzversicherungen in den Bereichen Taggeld, Spital wie Zahnpflegeversicherungen an.	 		6.8	6	8.3	7.0	5.0		Geringe Kundenzufriedenheit	info@kkwaedenswil.ch
78	194	Sumiswalder Krankenkasse	KK Sumiswalder	-	-	Yes	Nein	yes	Spitalstrasse 47\n 3454 Sumiswald\n Tel. 034 432 30 60\n Fax 034 432 30 61\n info@sumiswalder.ch \n www.sumiswalder.ch		sumiswalder.png	Die Sumiswalder Krankenkasse wurde 1823 gegründet und ist in der Deutschschweiz tätig. In den Bereichen obligatorische Krankenpflegeversicherung, Zusatzversicherungen und Taggeldversicherung sind rund 24'000 Personen bei der Sumiswalder versichert. Die jährlichen Prämieneinnahmen betragen über 65 Millionen Franken. Am Sitz in Sumiswald arbeiten 35 Voll- oder Teilzeitmitarbeiterinnen und Mitarbeiter. Auf Qualität und Sicherheit legt die Kasse grossen Wert. So nimmt beispielsweise der Datenschutz eine sehr wichtige Rolle im täglichen Handeln ein.\n\nDas Angebot für private Personen deckt alle Bereiche ab. Die obligatorische Krankenpflege (Grundversicherung), attraktive und günstige Zusatzversicherungen sowie eine Lohnausfallversicherung für Selbständige, Arbeitslose und Hausfrauen.\n\n\n\n	 		8.6	4	10.0	9.0	6.7	Schnelle Rückerstattung	Starke Prämienerhöhung 2016	info@sumiswalder.ch 
79	62	SUPRA-1846 SA	Supra		Groupe Mutuel	Yes	Nein	yes	Av. de la Rasude 8\n1006 Lausanne \nTel. 0848 803 111\ninfo@groupemutuel.ch\nwww.supra.ch		supra.png	Supra-1846 SA ist eine Tochtergesellschaft der Groupe Mutuel.\nDie Groupe Mutuel ist Nummer 1 der Krankenversicherer in der Westschweiz und liegt mit den 1,45 Millionen Versicherten ihrer sechs Krankenversicherer auch gesamtschweizerisch auf den vordersten Plätzen.Ausserdem ist die Groupe Mutuel im Bereich der Taggeldversicherung, Unfallversicherung, Pensionskasse (BVG) und der Lebensversicherung aktiv und bietet ihren Kunden eine umfassende Palette an Personenversicherungen.Die Groupe Mutuel hat zur Aufgabe, folgende in der obligatorischen Krankenpflegeversicherung tätigen Krankenversicherer zu verwalten und ihre Interessen zu vertreten: Mutuel Krankenversicherung AG, Philos Krankenversicherung AG, Avenir Krankenversicherung AG, EasySana Krankenversicherung AG, SUPRA-1846 SA und AMB. Sie verwaltet auch zwei Privatversicherer für die Zusatzversicherungen: Groupe Mutuel Versicherungen GMA AG und Mutuel Versicherungen AG, sowie die Groupe Mutuel Leben GMV AG. \n	 		6.3	15	7.5	6.4	5.0		Starke Prämienerhöhung 2016\nLangsame Rückerstattung	 info@groupmutuel.ch
8	1384	SWICA Krankenversicherung	Swica	-	Swica	Yes	Nein	yes	Römerstrasse 38\n 8401 Winterthur\n Tel. 052 244 22 33\n Fax 052 244 22 90\n swica@swica.ch \n www.swica.ch		swica.png	SWICA ist eine der führenden Kranken- und Unfallversicherungen der Schweiz mit rund 1,3 Millionen Versicherten und 26 750 Unternehmenskunden. \n\nSWICA bietet ihren Kunden dauerhaft finanzielle Sicherheit und eine optimale medizinische Versorgung bei Krankheit, Unfall und Mutterschaft. \n\nSWICA ist die einzige Gesundheitsorganisation mit einer integralen Dienstleistungskette bei allen Fragen zur Gesundheit – von der medizinischen Versorgung über die kompetente Begleitung erkrankter oder verunfallter Menschen bis hin zur Gesundheitsförderung in Betrieben.	 		8.6	2	10.0	9.0	6.7	Aktive Diabetes Prävention\nHohe Kundenzufriedenheit		swica@swica.ch
