ID - KNIP	ID - BAG	Company	Abreviation	belongs to	Motherhouse	Can be purchased	contract	Can be used for comparison	Adr.	Policy Conditions	Image	descripion_de	description_en	Reviews	Gesammt Note	Tage bis Rückerstattung	Geschwindigkeit Rückerstattung	Kundenzufriedenheit	Knip Kollaboration	positive 	negative	E-mail for insurance application
4	376	KPT Krankenkasse AG	KPT	-	-	Yes	Nein	yes	Tellstrasse 18\n Postfach 8624\n 3001 Bern\n Tel. 058 310 91 11\n Fax 058 310 86 35\n kpt@kpt.ch \n www.kpt.ch		kpt_cpt.png	Die KPT CPT Holding AG ist eine große Versicherung mit Hauptsitz in Bern. Bei ihr sind rund 450 Mitarbeiter beschäftigt, die circa 430.000 Versicherte betreuen. Gerade der Online-Markt wird von der Holding AG angesprochen und sie ist über ihre Internetseite 24 Stunden für ihre Kunden erreichbar. Vor allem die Buchstaben KPT stehen für eine besondere Bedeutung. K für Kompetenz, P für persönlich und T für Transparenz. Diesen Grundsatz leben die Mitarbeiter auch täglich bei ihrer Arbeit. Neben der Grundversicherung und der Unfallversicherung bietet die Holding AG natürlich auch viele Zusatzversicherungen an, wie eine Erwerbsausfallversicherung oder eine Internationale Krankenversicherung. Prämien kann ein Kunde sparen, wenn er seine gesamte Kundenverbindung online abwickelt. Laut Geschäftsbericht des Jahres 2012 konnte die Holding AG ihre Versichertenzahl in den letzten Jahren ständig steigern, und das Jahr mit einem Umsatz von 31.876.000,00 CHF erfolgreich abschließen. So hatte die KPT CPT Holding AG eine Umsatzsteigerung im Jahr 2012 von 15,8 % zum Vorjahr.			4.9	5	6	4.8	4	Sehr kurze Rückerstattungszeit\nHohe Kundenzufriedenheit	Solvenzquote nicht ausreichend (BAG)	kpt@kpt.ch 
3254	134	Kranken- und Unfallkasse\nBezirkskrankenkasse Einsiedeln	KK Einsiedeln 	-	-	yes	nein	yes	Hauptstrasse 61\n Postfach 57\n 8840 Einsiedeln\n Tel. 055 412 23 18\n Fax 055 412 88 34\n info@kkeinsiedeln.ch\n www.kkeinsiedeln.ch		krankenkasse_einsiedeln.png				n.v.	5	6	n.v.	n.v.	n.v.		info@kkeinsiedeln.ch
67	1322	Krankenkasse Birchmeier	Birchmeier	-		Yes	Nein	yes	Hauptstrasse 22\n 5444 Künten\n Tel. 056 485 60 40\n Fax 056 485 60 45\n info@kkbirchmeier.ch\n www.kkbirchmeier.ch		krankenkasse_birchmeier.png	Heute bietet die Kasse ihren Versicherten ein ganzheitliches und attraktives Leistungsangebot. Personen, die im Kanton Aargau wohnen, können je nach persönlichen Wünschen und Bedürfnissen Bausteine einer Grundversicherung, Zusatzversicherungen (ambulant), Spitalversicherungen (stationär), Zahnversicherungen, Patientenrechtsschutzversicherungen, Risikokapitalversicherung, Ferien- und Reiseversicherung und der Klassiker Taggeldversicherung angeboten werden. Engagierte und gut ausgebildeten Mitarbeiter der Krankenversicherung Birchmeier legen Wert auf eine hohe Beratungs- und Dienstleistungsqualität gegenüber den Versicherten. Mittlerweile hat die Krankenversicherung Birchmeier rund 10.000 Mitglieder. Die Bilanzsumme leigt bei ca. 17,5 Mio. CHF (2012).			n.v.	6	5	n.v.	n.v.	n.v.		info@kkbirchmeier.ch
49	360	Krankenkasse Luzerner Hinterland	KK Luzerner Hinterland	-	-	Yes	Nein	yes	Luzernstrasse 19\n 6144 Zell\n Tel. 041 989 70 00\n Fax 041 989 70 01\n info@kklh.ch \n www.kklh.ch		luzerner_hinterland.png	Die Luzerner Hinterland Krankenversicherung betreut mit neun Mitarbeitern und zwei Auszubildenden die ihre Versicherten von ihrem Sitz Zell (Kanton Luzern) aus. Aufgrund der Mitgliederzahl von etwa 21.000 gehört sie zu den kleineren Krankenversicherungen in der Schweiz, betreut aber trotz des Hauptaugenmerks auf die Region Luzern und Luzerner Landschaft weitere zehn Kantone. Doch genau das spiegelt auch den Leitspruch "Qualität statt Wachstum" der KKLH wider. Die Luzerner Hinterland Krankenversicherung ist neben dem persönlichen  ihrem Geschäftssitz auch gut über das Internet oder einen zentralen Telefonanschluss erreichbar. Neben der Grundversicherung bietet die Krankenversicherung natürlich auch viele Zusatzversicherungen im Sinne von KVG und VVG an. So werden hier unter anderem eventuelle Folgeschäden von Unfällen, Mutterschaften und Krankheiten versichert. Aber auch Zahnersatzversicherungen, Reise- und Auslandsversicherungen oder Spitalversicherungen können hier zusätzlich abgeschlossen werden. Laut Geschäftsbericht der KKLH steigerte sich der Mitgliederbestand vom Jahr 1990 mit gerade mal 4000 auf im Jahr 2012 ca. 21.000 Versicherte. Gerade in den letzten 10 Jahren stieg diese Zahl rasant an. Im Jahr 2012 machte die Krankenversicherung zudem einen Gewinn von 1.901.466 CHF und schloss somit mit einem Eigenkapital von 32.888.203 CHF. Im Vorjahr waren dies hingegen "nur" 30.147.567 CHF.			n.v.	6	5	n.v.	n.v.	n.v.		info@kklh.ch 
23	1542	Assura-Basis SA	Assura	-		Yes	Nein	yes	Avenue C.-F. Ramuz 70\n 1009 Pully\n Tel. 021 721 44 11\n Fax 021 721 46 99\nassura@assura.ch \n www.assura.ch		assura.png	Die Assura ist in der Rechtsform einer Stiftung organisiert. Mit über 700'000 Versicherten ist sie die zweitgrößte Krankenkasse der Schweiz. Sie beschäftigt in der Zentrale in Pully und ihren mittlerweile 13 Niederlassungen über 200 Mitarbeiter. Im Jahr 2010 erzielte das Unternehmen im Bereich der Grundversicherung einen Umsatz von 1,5 Mrd.CHF.\nEines der Unternehmensziele ist es von Anfang an, die Versicherungsprämien so niedrig wie möglich zu halten. Dementsprechend waren die Prämien der Assura in den letzten über 35 Jahren im Durchschnitt am günstigsten.\nSeit 2011 ist das Unternehmen auch in sozialen Netzwerken aktiv. Unter anderem verfügt es über Profile auf Facebook, Twitter und YouTube.			4.4	34	3	4.2	6	Tiefe Prämie 	Sehr lange Rückzahlungszeit	\nofferte@assura.ch 
68	246	Krankenkasse Steffisburg	KK Steffisburg	-	-	Yes	Nein	yes	Unterdorfstrasse 37\n Postfach\n 3612 Steffisburg\n Tel. 033 439 40 20\n Fax 033 439 40 29\n info@kkst.ch \n www.kkst.ch		krankenkasse_steffisburg.png	Die Krankenkasse Steffisburg ist eine regional tätige Krankenkasse. Sie hat Ihren Hauptsitz, wie der Name schon sagt, in Steffisburg und ist dort überwiegend regional tätig. Aber natürlich ist sie auch über zentrale Telefonnummer und den E-Mail-Kontakt zu erreichen. Die Krankenkasse Steffisburg ist eine sehr kleine Versicherung mit gerade mal einem Geschäftsführer sowie acht Mitarbeitern und Mitarbeiterinnen. Hier ist vor allem eine persönliche Beratung der Versicherten gewährleistet. Neben der Grundversicherung sowie der Unfallversicherung bietet die Krankenkasse Steffisburg natürlich auch viele Zusatzversicherungen an, zum Beispiel eine Zahnkostenversicherung oder eine Versicherung, mit der eventuelle Krankenhauskosten und Rettungskosten abgegolten werden. Dem Unternehmen ist es vor allem wichtig, sich gerade für die Anliegen Ihrer Versicherten stark zu machen. Dieses Konzept verfolgt sie nun seit über 150 Jahren. In dem Geschäftsbericht von 2012 kann man jedoch ersehen, dass der Versichertenbestand um ungefähr 21 % zum Vorjahr zurückgegangen ist. Das Jahr 2012 schloss mit einem Gewinn von 689.133,52 CHF ab. Dies waren circa 40 % Gewinn weniger als im Vorjahr.			n.v.	6	5	n.v.	n.v.	n.v.		info@kkst.ch 
77	1331	Krankenkasse Stoffel	KK Stoffel			yes	Nein	yes	Bahnhofstrasse 63\n 8887 Mels\n Tel. 081 723 56 09\n Fax 081 723 76 55\n info@kkstoffel.ch\n www.kkstoffel.ch		-	Die als Verein organisierte Krankenkasse Stoffel mit Sitz in Mels (Kanton St. Gallen) ist eine noch recht junge und lokal fest verankerte Schweizer Versicherungsgesellschaft mit dem Schwerpunkt auf Kranken- und Zusatzversicherungen. Im Bereich der obligatorischen Krankenpflegeversicherung (Grundversicherung) und der Taggeldversicherung nach dem KVG gewährt die Krankenkasse Stoffel ihren Mitgliedern, beruhend auf dem Grundsatz der Gegenseitigkeit, Versicherungsschutz gegen die wirtschaftlichen Folgen von Krankheit, Mutterschaft und Unfall. Seit dem 01. Januar 1997 bietet die Krankenkasse darüber hinaus Zusatzversicherungen gemäß dem Versicherungsvertragsgesetz (VVG) ebenfalls zum Schutz gegen die wirtschaftlichen Folgen von Krankheit, Mutterschaft und Unfall. Die Zusatzversicherungen der Krankenkasse Stoffel bilden damit eine Ergänzung des Grundversicherungsangebots.\n \nDie Krankenkasse Stoffel verfügt über eine Niederlassung in Mels. Darüber hinaus stellt sie auf ihrer Internetplattform ein umfangreiches Download-Portal zur Verfügung, wo sich Interessierte über die Versicherungsprodukte- und -dienstleistungen informieren können.\n \nIm Rahmen der Versicherungsprämien bietet die Krankenkasse Stoffel ihren Mitgliedern mehrere Möglichkeiten, den Prämienbetrag zu reduzieren, beispielsweise durch eine höher wählbare Franchise bei der obligatorischen Krankenversicherung. Darüber hinaus gibt es auch einen Prämienrabatt, wenn der Versicherte über seinen Arbeitgeber gegen Unfallrisiken versichert ist. Und auch im Rahmen der freiwilligen Zusatzversicherung hält die Krankenkasse entsprechende Angebote wie den Familienrabatt (ab zwei oder ab drei Personen) bereit.\n \nDie Krankenkasse Stoffel versicherte zum Bilanzstichtag 31. Dezember 2012 in der obligatorischen Krankenversicherung insgesamt 1.678, im wählbaren Franchise 646 und im Hausarztsystem 823 Personen. Im Bestand der Zusatzversicherungen befanden sich 2.020 Policen. Träger der Zusatzversicherungen ist die Helsana Zusatzversicherungen AG. Die Prämieneinnahmen zum Bilanzstichtag 2012 beliefen sich auf rund 3,9 Millionen Schweizer Franken. Dem gegenüber standen Aufwendungen für Versicherungsleistungen in Höhe von ca. 3,6 Millionen Schweizer Franken.			n.v.	3	6	n.v.	n.v.	n.v.		info@kkstoffel.ch
3305	1060	Wincare Versicherungen		Ein Angebot der Sanitas	Sanitas	nein	Yes	nein	Konradstrasse 14\n Postfach 299\n 8401 Winterthur\n Tel. 044 298 63 00\n Fax 044 298 62 50\n info@wincare.ch \n www.wincare.ch		sanitas.png	Die Sanitas Krankenversicherung mit Sitz in Zürich ist ein auf die Krankenversicherungspezialisierter Schweizer Versicherungskonzern. Die Unternehmensgruppe zählte Anfang 2014 rund 824'000 Versicherte und erzielte 2013 mit knapp 700 Mitarbeitern Prämieneinnahmen von 2,484 Milliarden Schweizer Franken. Damit finanzierte Sanitas Versicherungsleistungen in Höhe von 2,338 Milliarden Schweizer Franken.\nDie Gruppe verfügt über eine Holdingstruktur und umfasst fünf operativ tätige Tochtergesellschaften, die auf den Gebieten der Grundversicherung (Sanitas, Wincare und Compact) und der Zusatzversicherungen (Sanitas und Wincare) tätig sind. Die in der Rechtsform einer Stiftung organisierte Sanitas Krankenversicherung bildet die Dachgesellschaft.\nDas Kerngeschäft der Sanitas Gruppe ist die Grundversicherung nach demKrankenversicherungsgesetz, die rund 71 Prozent der gesamten Prämieneinnahmen ausmacht. Die Sparte mit den Zusatzversicherungen ist das zweite Standbein.\n\n			n.v.					n.v.		info@sanitas.com
61	558	Krankenversicherung Flaachtal AG	Flaachtal	Ein Angebot der ÖKK	Ökk	yes	Nein	yes	Bahnhofstrasse 13\n 7302 Landquart\n Tel. 058 456 10 10\n Fax 058 456 10 11\n info@oekk.ch \n www.oekk.ch		okk.png	Die Stiftung ÖKK hat ihren Sitz in Landquart (Kanton Graubünden) und ist ein Schweizer Versicherungsunternehmen mit einer Holdingstruktur. Der Versicherer hat vor allem im Kanton Graubünden einen hohen Marktanteil (50 Prozent, Stand 2013). Darüber hinaus ist das Unternehmen aber auch schweizweit tätig. Heute kommen bereits 40 Prozent aller Versicherten aus Regionen außerhalb des Kantons Graubünden – Tendenz steigend.\n \nDie ÖKK versicherte zum Abschlussstichtag 31. Dezember 2012 rund 167.000 Menschen und 14.700 Unternehmen. Das Unternehmen beschäftigt ca. 370 Mitarbeiter in 38 Agenturen, die sich auf neun verschiedene Kantone mit Schwerpunkt Graubünden verteilen.\n \nDas Angebot der Stiftung ÖKK erstreckt sich auf Versicherungslösungen aus den Bereichen Krankheit, Unfall, Erwerbsausfall und berufliche Vorsorge. In Zusammenarbeit mit verschiedenen Partnerfirmen werden auch Lebens-, Haftpflicht- und Sachversicherungen über die ÖKK vertrieben.\n \nDie Bruttoprämieneinnahmen aus den unterschiedlichen Geschäftsbereichen bezifferte der Versicherer im Geschäftsjahr 2012 mit rund 592,5 Millionen Schweizer Franken. In der Bilanz der ÖKK wurde zum Abschlussstichtag 31. Dezember 2012 eine Summe von 426,2 Millionen Franken ausgewiesen. Der Jahresgewinn belief sich auf 11,8 Millionen Franken.\n			n.v.	4	6	n.v.	n.v.	n.v.		info@oekk.ch 
3306	1142	Krankenkasse Institut Ingenbohl				nein	nein	nein	Postfach 57\n8840 Einsiedeln\nTel.041 825 22 37\nFax 055 412 88 34\nkkingenbohl@hin.ch		-				n.v.					n.v.		info@kkeinsiedeln.ch
3307	1147	Krankenkasse Turbenthal				nein	Nein	nein	Tösstalstrasse 147\n 8488 Turbenthal\n Tel. 052 385 33 65		-				n.v.					n.v.		
33	57	Moove Sympany AG	Moove	Ein Angebot der Sympany	Sympany	yes	Nein	yes	Peter Merian-Weg 4 \n4002 Basel\nTel. 058 262 30 00\ninfo.moove@sympany.ch\nwww.sympany.ch		sympany.png	Die Sympany mit Sitz in Basel (Kanton Basel) ist eine auf Krankenversicherungen spezialisierte Schweizer Versicherungsgesellschaft. Kerngeschäfte der als Stiftung organisierten Krankenkasse sind die Grundversicherung nach dem Krankenversicherungsgesetz (KVG) und entsprechende Zusatzversicherungen. Seit 2009 bietet die Sympany außerdem Versicherungen für Gebäude, Hausrat, Motorfahrzeuge und Privathaftpflicht an.\n \nDie Unternehmensgruppe unter dem Dach der Sympany Stiftung umfasst insgesamt drei 100-prozentige Tochtergesellschaften. Bis 2009 trat die Sympany am Markt als Versicherer unter drei Marken auf. Herzstück der Geschäftstätigkeit bildete die Marke Vivao Sympany. Sie bot Versicherungslösungen für Privatpersonen mit dem Schwerpunkt Familie, Berufstätige und Jugendliche an. Die Moove Sympany richtete sich insbesondere an aktive, sportliche und junge Menschen, während die Trust Sympany sich ausschließlich auf Versicherungslösungen für Unternehmen konzentrierte. Seit 2010 treten die drei Marken der Versicherungsgesellschaft unter der einheitlichen Marke Sympany auf.\n \nBis 2008 war die Sympany außerdem über ihre Maklergesellschaft „Allcons“ auch im Beratungs- und Vermittlungsgeschäft für fremde Versicherungslösungen aktiv. Bis zur Trennung von der Allcons lag das Prämienvolumen für an Dritte vermittelte Kunden bei 147 Millionen Schweizer Franken.\n \nMit 538 Mitarbeitern und sechs Kundenzentren versicherte die Sympany zum Abschlussstichtag 31. Dezember 2013 schweizweit 203.097 Privat- und 12.250 Geschäftskunden. Das Unternehmensergebnis 2012 fiel mit 21,6 Millionen Franken 33 Prozent besser aus als im Geschäftsjahr 2011. Die Prämieneinnahmen beliefen sich im Berichtszeitraum auf 919 Millionen Franken. Dem standen Leistungen von 781 Millionen Franken gegenüber, was einem Rückgang um acht Prozent (63 Millionen 			n.v.	9	5	n.v.	n.v.	n.v.		partnervertrieb@sympany.ch
21	455	ÖKK 	ÖKK 	-	-	Yes	Nein	yes	Bahnhofstrasse 13\n 7302 Landquart\n Tel. 058 456 10 10\n Fax 058 456 10 11\n info@oekk.ch \n www.oekk.ch		okk.png	Die Stiftung ÖKK hat ihren Sitz in Landquart (Kanton Graubünden) und ist ein Schweizer Versicherungsunternehmen mit einer Holdingstruktur. Der Versicherer hat vor allem im Kanton Graubünden einen hohen Marktanteil (50 Prozent, Stand 2013). Darüber hinaus ist das Unternehmen aber auch schweizweit tätig. Heute kommen bereits 40 Prozent aller Versicherten aus Regionen außerhalb des Kantons Graubünden – Tendenz steigend.\n \nDie ÖKK versicherte zum Abschlussstichtag 31. Dezember 2012 rund 167.000 Menschen und 14.700 Unternehmen. Das Unternehmen beschäftigt ca. 370 Mitarbeiter in 38 Agenturen, die sich auf neun verschiedene Kantone mit Schwerpunkt Graubünden verteilen.\n \nDas Angebot der Stiftung ÖKK erstreckt sich auf Versicherungslösungen aus den Bereichen Krankheit, Unfall, Erwerbsausfall und berufliche Vorsorge. In Zusammenarbeit mit verschiedenen Partnerfirmen werden auch Lebens-, Haftpflicht- und Sachversicherungen über die ÖKK vertrieben.\n \nDie Bruttoprämieneinnahmen aus den unterschiedlichen Geschäftsbereichen bezifferte der Versicherer im Geschäftsjahr 2012 mit rund 592,5 Millionen Schweizer Franken. In der Bilanz der ÖKK wurde zum Abschlussstichtag 31. Dezember 2012 eine Summe von 426,2 Millionen Franken ausgewiesen. Der Jahresgewinn belief sich auf 11,8 Millionen Franken.\n			5.1	2	6	5.3	4	\nSehr kurze Rückerstattungszeit\nHohe Kundenzufriedenheit\n		info@oekk.ch 
66	1328	kmu-Krankenversicherung \n(IST AB 01.01.2017 aufgelöst)		-	-	nein	Nein	nein	Bachtelstrasse 5\n 8400 Winterthur\n Tel. 052 269 12 60\n Fax 052 269 12 65\n info@kmu-kv.ch \n www.kmu-kv.ch		kmu_krankenversicherung.png	Mit nur 12 Mitarbeitern ist die KMU ein sehr kleines Unternehmen, das etwa 8000 Versicherte und circa 50 Firmen betreut. Dadurch kommt es in der KMU Krankenversicherung vor allem zu einem sehr persönlichen Kontakt zwischen Kunde und Mitarbeiter. Noch heute hat die KMU ihren Sitz in Winterthur, betreut die Kunden aber auch telefonisch und über das Internet auch an allen anderen Stand- und Wohnorten. Neben der Grundversicherung werden auch viele Zusatzversicherungen angeboten, wie natürlich eine Unfallversicherung, eine Zahnersatzversicherung oder auch eine Rechtsschutzversicherung für gesundheitliche Rechtsfragen. Auch Erwerbsunfall- oder Reisekrankenversicherungen können hier abgeschlossen werden. Das Jahr 2012 schloss die KMU mit einem Gesamtgewinn von 1.250.561 CHF ab.			n.v.					n.v.		info@kmu-kv.ch 
97	1535	Philos Krankenversicherung AG\n 	Philos	Ein Angebot der Groupe Mutuel	Groupe Mutuel	Yes	Nein	yes	Groupe Mutuel\n Philos Caisse maladie-accident\n Rue des Cèdres 5\n 1920 Martigny\n Tel. 0848 803 111\n Fax 0848 803 112\n info@groupemutuel.ch\n www.groupemutuel.ch		groupe_mutuel.png	Rund 1,2 Millionen (1'190'000) Einzelversicherte sind den Mitgliedskrankenversicherern der Groupe Mutuel für die obligatorische Krankenpflegeversicherung (OKP) angeschlossen. Zählt man die Versicherten mit nur einer privaten Zusatzversicherung dazu, beträgt die Versichertenzahl 1,4 Millionen. Rund 17'000 Unternehmen aus allen Tätigkeitsbereichen vertrauen bei ihren Taggeldversicherungen, Unfallversicherungen und der beruflichen Vorsorge voll und ganz den Versicherern der Groupe Mutuel. Der Umsatz aller Mitgliedsgesellschaften übersteigt 4,6 Milliarden Franken, rund 3,7 Milliarden stammen aus dem Bereich Krankenversicherung. Die Krankenversicherer der Groupe Mutuel bieten umfassende Lösungspakete in der obligatorischen Krankenpflegeversicherung und den Zusatzversicherungen an. Die Groupe Mutuel verwaltet ausserdem zwei Vorsorgestiftungen: die schweizweit tätige Groupe Mutuel Vorsorge und die Walliser Vorsorge, die auf die Unternehmen im Kanton Wallis ausgerichtet ist. Die Groupe Mutuel Leben GMV AG deckt den Bereich Lebensversicherungen ab. Mit ihren verschiedenen Versicherungsgesellschaften ist die Groupe Mutuel, Association d’assureurs, ein umfassendes Unternehmen, das Einzelpersonen sowie Unternehmen mit bedarfsgerechten Versicherungslösungen unterstützt.			4.5	11	4.5	5.0	4	Hohe Kundenzufriedenheit	Solvenzquote nicht ausreichend (BAG)	info@groupemutuel.ch
3308	1362	Krankenkasse Simplon		-	-	nein	nein	nein	3907 Simplon-Dorf\n Tel. 027 979 14 39 \n Fax 027 979 14 39\n kk.simplondorf@rhone.ch		-				n.v.					n.v.		kk.simplondorf@rhone.ch
87	994	Progrès Versicherungen AG	Progrès	Ein Angebot der Helsana Gruppe	Helsana Gruppe	Yes	Nein	yes	Helsana-Gruppe\nProgrès Versicherungen AG\nPostfach\n8081 Zürich\nTel. 043 340 11 12\nFax 043 340 01 11\nwww.progres.ch		helsana.png	Die Helsana AG mit Sitz in Dübendorf ist ein auf die Krankenversicherung spezialisierter Schweizer Versicherungskonzern. Mit 1,9 Millionen Versicherten und Prämieneinnahmen von 6 Milliarden Schweizer Franken ist die Helsana-Gruppe der führende Kranken- und Unfallversicherer der Schweiz. Die Unternehmensgruppe beschäftigt rund 3000 Mitarbeitende und verfügt über ein schweizweites Netz von 22 Generalagenturen und 19 Verkaufsstellen. \nDer Konzern umfasst fünf operativ tätige Tochtergesellschaften, die auf den Gebieten der Grundversicherung, der Zusatzversicherungen und der Unfallversicherungen tätig sind. Diese treten unter den Namen Helsana, Progrès, Sansan und Avanex als eigenständige Marken am Markt auf. Aerosana, eine weitere ehemalige Tochtergesellschaft, fusionierte per 1. Januar 2011 mit Progrès.\nDas Kerngeschäft der Helsana-Gruppe bildet die Grundversicherung nach demKrankenversicherungsgesetz und generiert damit rund 70 Prozent der gesamten Prämieneinnahmen. Die Sparte Zusatzversicherungen bildet mit 27 Prozent der Prämieneinnahmen das zweite Standbein. Daneben bietet die Gruppe Unternehmen und Verbänden Kollektivtaggeld- und Unfallversicherungen sowie Lösungen in der beruflichen Vorsorge an.\n			n.v.	1	6	n.v.	n.v.	n.v.		kb1.zuerich@helsana.ch
71	182	PROVITA Gesundheitsversicherung AG	Provita	Ein Angebot der SWICA 	Swica	yes	Nein	yes	c/o\nSWICA Krankenversicherung AG\nRömerstrasse 38\n8401 Winterthur\nTel.052 244 22 33\nFax 052 244 22 90 \ninfo@provita.ch\nwww.provita.ch		swica.png	Die Provita Holding AG – vormals Sulzer-Krankenkasse – mit Sitz in Winterthur (Kanton Zürich) ist eine auf Krankenversicherungen spezialisierte Schweizer Versicherungsgesellschaft. Kerngeschäft der Versicherung ist die Grundversicherung nach dem Krankenversicherungsgesetz (KVG) und Zusatzversicherungen.\n \nDer Konzern verfügt über eine Holdingstruktur und umfasst zwei operativ tätige Tochtergesellschaften. Die kompletten Aktien der Provita Holding AG werden vom Verein Provita Grundversicherung gehalten. Für die Durchführung der Kranken- und Unfallversicherung nach dem KVG ist die Provita Grundversicherung AG zuständig. Für die Durchführung der Zusatzversicherungen gemäß dem Versicherungsvertragsgesetz (VVG) ist die Provag Versicherungen AG zuständig, die 2011 jedoch  an die SWICA Holding verkauft wurde. Das Hauptgeschäft macht der Konzern mit der Grundversicherung nach dem KVG. Der Anteil an den gesamten Prämieneinnahmen betrug bis 2011 gut 85 Prozent.\n \nZum 31. Dezember 2012 versicherte die Provita 57.157 Personen, was einem Plus zum Vorjahreszeitraum von 4,9 Prozent entsprach. Der Konzern beschäftigte in diesem Berichtszeitraum 61 Mitarbeiter sowie drei Lernende. In der Bilanz weist die Provita eine Summe von 76,0 Millionen Schweizer Franken aus. Der gesamte Prämienertrag belief sich in 2012 auf 156,1 Millionen Franken, was einem Anstieg zum Geschäftsjahr 2011 von 6,1 Prozent (169,6 Millionen Franken) entsprach. Aufgrund eines Anstiegs der Leistungen um 4,3 Prozent (176,8 Millionen Franken), erzielte die Provita 2012 einen negativen Jahresgewinn von 4,4 Millionen Franken.			n.v.	2	6	n.v.	n.v.	n.v.		swica@swica.ch 
73	1401	rhenusana	rhenusana	-	-	Yes	Nein	yes	Heinrich-Wild-Strasse 210\n Postfach\n 9435 Heerbrugg\n Tel. 071 727 88 00\n Fax 071 727 88 99\n info@rhenusana.ch\n www.rhenusana.ch		rhenusana.png	Die Rhenusana ist eine regional festverankerte Schweizer Versicherungsgesellschaft mit Sitz in Heerbrugg (Kanton St. Gallen) und einer weiteren Niederlassung in Oberriet. Organisiert ist die Rhenusana als Verein. Haupttätigkeitsschwerpunkt der Rhenusana ist das Geschäft mit der obligatorischen Grundversicherung, Zusatzversicherungen und verschiedenen alternativen Versicherungsmodellen (z. B. Hausarztsystem, sanmed24). Im Bereich der Zusatzversicherungen bietet die Rheunsana ein umfangreiches Angebot an Versicherungsprodukten an. Neben Privatkunden richtet sich die Versicherung auch an Unternehmen und offeriert entsprechende Versicherungsdienstleistungen zur Absicherung der Mitarbeitenden des Unternehmens.\n \nDie Rhenusana ist Mitglied im Verband der kleinen und mittleren Krankenversicherer (RVK). Sie besonders fest verankert im St. Galler Rheintal und richtet sich daher vorwiegend an die Bevölkerung und Wirtschaft der Ostschweiz.\n \nIn ihrer Bilanz 2011 weist das Unternehmen eine Summe von 25,2 Millionen Schweizer Franken aus. Der Jahresgewinn der Versicherung betrug im Berichtszeitraum 8.349,66 Franken. Die Einnahmen aus Versicherungsprämien betrugen über 37,9 Millionen Franken, was einem Zuwachs von 8,4 Prozent gegenüber dem Vorjahr entsprach. Dem gegenüber stand zum Abschlussstichtag 31. Dezember 2011 ein Versicherungsaufwand von rund 35,1 Millionen Franken.			n.v.	4	6	n.v.	n.v.	n.v.		info@rhenusana.ch
83	1568	sana24 AG	Sana24	Ein Angebot der Visana 	Visana	Yes	Nein	yes	Weltpoststrasse 19/21\n Postfach 253\n 3000 Bern 15\n Tel. 031 357 91 11\n Fax 031 357 96 22\n info@visana.ch\n www.visana.ch		visana.png	Visana mit Sitz in Bern ist ein auf die Krankenversicherung und Unfallversicherungspezialisierter Schweizer Versicherungskonzern. Die Unternehmensgruppe zählt über 570'000 grundversicherte Personen. Insgesamt zählt sie rund 1,2 Mio. Versicherte und erzielte 2014 mit 1'290 Mitarbeitern Prämieneinnahmen von 2,9 Milliarden Schweizer Franken.\nDer Konzern verfügt über eine Holdingstruktur mit der Stiftung Visana Plus als oberstes Dach der Gruppe sowie über die vier im Versicherungsbereich operativ tätigen Tochtergesellschaften Visana AG, Visana Versicherungen AG, sana24 AG und vivacare AG.\nDie Visana-Gruppe gehört zu den grösseren schweizerischen Kranken- und Unfallversicherern. Sie bietet die obligatorische Krankenpflegeversicherung (OKP) nach Krankenversicherungsgesetz (KVG), Zusatz- und Sachversicherungen nach Versicherungsvertragsgesetz (VVG) und Unfallversicherungen nach Unfallversicherungsgesetz (UVG) an.\nVisana versichert Privatkunden (Einzelpersonen und Familien) sowie Firmenkunden (Unternehmen, öffentliche Institutionen und Verbände). Für Letztere bietet sie Lohnausfall- und Unfallversicherungen an.\n			n.v.	5	6	n.v.	n.v.	n.v.		kam-mitte@visana.ch
